;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Rail lines density (total route in km per 100 square km of land area);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
753;Namibia;2020;112;56.8;65;22;69.2;0.33;9048.2;1.67;1790;7.3;14;84.3;35.3;;;;55;14
754;Namibia;2021;113;;;;;0.33;9137.8;1.67;1793;;19;;;;;;;13
755;Namibia;2022;113;;;;;0.33;;1.67;1794;;;;;;;;;
756;Nauru;2017;;;;;;;11746.6;3.02;;2.8;;99;65.6;;;;;85
757;Nauru;2018;;;;;;;12209.9;3.02;;2.6;;99;;;;;;93
758;Nauru;2019;;;33.9;24.4;;;12000.6;3.02;;0.6;;99;;;;;;87
759;Nauru;2020;;;65.9;46.7;;;11958.2;3.02;;1.1;;99;;;;;;38
760;Nauru;2021;;;;;;;11947.4;3.02;;;;;;;;;;19
761;Nauru;2022;;;;;;;;3.02;;;;;;;;;;
762;Nepal;2017;125;61.4;72.7;12;14.2;0.26;3495.5;2.47;1741;9.2;22;88.7;65.6;22.3;41.1;;65;188
763;Nepal;2018;126;62.9;73.7;12.3;14.7;0.26;3719.3;2.47;1745;4.6;24;89.2;69.2;20.8;43.3;;65;214
764;Nepal;2019;126;62.7;74.7;13;13.6;0.26;3922.1;2.47;1748;5.8;28;89.6;72.9;19.2;45.5;;65;208
765;Nepal;2020;127;61.8;75;13.7;14.2;0.28;3761.8;2.47;1752;3;30;90.1;76.6;17.6;48.6;;65;216
766;Nepal;2021;129;;;;;0.29;3831.9;2.47;1758;;28;;;;;;;198
767;Nepal;2022;130;;;;;0.28;;2.47;1761;;;;;;;;;
768;Netherlands (Kingdom of the);2017;127;128.3;105.3;69.3;84.3;0.2;55088.6;2.32;1973;28.7;23;99;97.7;99;97.5;;28;8
769;Netherlands (Kingdom of the);2018;127;132;104;67.3;85.6;0.2;56060.9;2.32;1973;21.7;31;99;97.7;99;97.5;7.4;28;8
770;Netherlands (Kingdom of the);2019;130;133.4;104;65.3;85.6;0.2;56784;2.32;1973;38.2;30;99;97.7;99;97.5;7.4;29;8
771;Netherlands (Kingdom of the);2020;133;138;107.3;67.3;85.9;0.2;54275;2.32;1973;39.9;50;99;97.7;99;97.5;7.4;28;8
772;Netherlands (Kingdom of the);2021;135;;;;;0.21;56617.4;2.32;1972;;64;;;;;;;8
773;Netherlands (Kingdom of the);2022;136;;;;;0.21;;2.32;1971;;;;;;;;;
774;New Caledonia;2017;120;113.6;85.7;50;84.8;0.27;;1.16;1808;11.3;8;98.6;99;96;;;36;25
775;New Caledonia;2018;120;113.9;86;50.3;83.9;0.27;;1.16;1809;11.3;12;98.8;99;96.2;;;36;21
776;New Caledonia;2019;122;114.4;87.7;51;84.1;0.27;;1.16;1808;10.1;14;99;99;96.4;;;37;20
777;New Caledonia;2020;124;116.2;89.3;52;84.9;0.27;;1.16;1809;9.2;17;99;99;96.6;;;37;19
778;New Caledonia;2021;126;;;;;0.27;;1.16;1810;;23;;;;;;;21
779;New Caledonia;2022;127;;;;;0.27;;1.16;1809;;;;;;;;;
780;New Zealand;2017;128;113.8;92.7;51;41.6;0.2;42218.5;2.38;1910;98.7;39;99;99;98.2;81.3;;32;10
781;New Zealand;2018;128;115.4;95;53;43.3;0.21;42862.1;2.38;1911;97.3;43;99;99;99;81.3;;32;10
782;New Zealand;2019;128;116.4;95.7;53.4;46.2;0.21;43110.4;2.38;1915;90.7;21;99;99;99;81.4;;32;10
783;New Zealand;2020;127;119.3;96;53.6;44.8;0.21;41642;2.38;1915;90.5;17;99;99;99;82.2;;32;10
784;New Zealand;2021;125;;;;;0.21;42915.5;2.38;1916;;17;;;;;;;10
785;New Zealand;2022;124;;;;;0.21;;2.38;1916;;;;;;;;;
786;Nicaragua;2017;112;62.1;63.3;19.3;39.2;0.33;5915.4;2.18;1775;14.2;31;81.4;72.9;55.3;;;52;17
787;Nicaragua;2018;113;63;64.3;19.3;38.7;0.33;5636.6;2.18;1777;15.8;33;81.5;72.9;55.4;;;52;17
788;Nicaragua;2019;114;64.2;65.7;21;39.1;0.33;5349;2.18;1779;14.8;33;81.6;73;55.4;;;51;16
789;Nicaragua;2020;114;64.8;67;22.4;40.6;0.34;5181.7;2.18;1781;14.9;29;81.7;73;55.5;;;51;16
790;Nicaragua;2021;115;;;;;0.37;5638.7;2.18;1784;;15;;;;;;;16
791;Nicaragua;2022;116;;;;;0.35;;2.18;1787;;;;;;;;;
792;Niger;2017;121;50.2;82;10;6.4;0.31;1156;1.47;1675;10.3;28;46.1;13.4;;15;;63;43
793;Niger;2018;122;51.4;83;10;5.4;0.31;1193.3;1.47;1675;10.6;27;46.4;13.9;;15.4;;63;48
794;Niger;2019;122;52.3;83.4;10;9.1;0.32;1217.4;1.47;1676;9.8;39;46.7;14.3;;15.8;;61;53
795;Niger;2020;123;53.7;83.7;10;13.7;0.36;1214.5;1.47;1676;4.9;27;46.9;14.8;;16.2;;61;65
796;Niger;2021;122;;;;;0.36;1186.6;1.47;1677;;30;;;;;;;68
797;Niger;2022;121;;;;;0.36;;1.47;1678;;;;;;;;;
798;Nigeria;2017;119;58.8;59.7;7.3;17.4;0.28;5120;1.65;1697;15.6;36;72.3;40;20.6;28.7;;67;14
799;Nigeria;2018;118;58.9;60;7;16.2;0.28;5089.8;1.65;1712;16.4;34;74.1;40.9;21;29.3;;67;12
800;Nigeria;2019;117;59;59.7;7;17.1;0.28;5076.4;1.65;1714;7.7;6;75.8;41.8;21.3;29.9;;67;10
801;Nigeria;2020;116;57.8;59;6.7;17.6;0.31;4865.1;1.65;1716;8.6;6;77.6;42.7;21.7;30.5;;67;11
802;Nigeria;2021;115;;;;;0.33;4922.6;1.65;1719;;12;;;;;;;14
803;Nigeria;2022;115;;;;;0.32;;2.5;1721;;;;;;;;;
804;Niue;2017;;;;;;;;3.02;;22.7;;97.3;96.3;94.4;;;;
805;Niue;2018;;;;;;;;3.02;;23.5;;97.2;95.9;94;;;;225
806;Niue;2019;;;;;;;;3.02;;23.6;;97;95.5;93.5;;;;191
807;Niue;2020;;;;;;;;3.02;;21.8;;97;95.5;93.5;;;;238
808;Niue;2021;;;;;;;;3.02;;;;;;;;;;376
809;Niue;2022;;;;;;;;3.02;;;;;;;;;;
810;North Macedonia;2017;119;102.4;81.7;34;30.2;0.21;15706.5;2.19;1927;26.8;22;97.6;96.6;77.9;12.3;2.7;37;14
811;North Macedonia;2018;120;103.8;82.7;35.3;26.6;0.21;16145.6;2.19;1927;48.4;22;97.6;97.2;76.7;12.2;2.7;36;13
812;North Macedonia;2019;121;106.2;83.7;36;27.7;0.22;16773.1;2.19;1927;50;24;97.7;97.8;76.8;12.2;2.7;36;12
813;North Macedonia;2020;123;109;85;36.3;24.4;0.25;15779.7;2.19;1927;49.4;28;97.7;98.3;76.8;12.2;2.7;35;11
814;North Macedonia;2021;123;;;;;0.23;16464.4;2.19;1927;;45;;;;;;;12
815;North Macedonia;2022;123;;;;;0.23;;2.19;1928;;;;;;;;;
816;Norway;2017;135;140.9;112.3;66.7;33;0.2;64050.8;2.11;1952;7.6;69;99;98.1;98.9;64.3;0.7;32;5
817;Norway;2018;135;139.4;113.7;66.7;42;0.2;64341.3;2.11;1953;6.5;65;99;98.1;98.8;64.7;0.7;32;5
818;Norway;2019;136;138.2;115;66;43.8;0.2;64385;2.11;1954;8.8;44;99;98.1;98.7;65;;32;5
819;Norway;2020;138;137.3;116.7;65;44.6;0.2;63548;2.11;1956;9;46;99;98.1;98.6;65.4;0.6;33;6
820;Norway;2021;139;;;;;0.2;65662.2;2.11;1957;;58;;;;;;;5
821;Norway;2022;139;;;;;0.21;;2.11;1958;;;;;;;;;
822;Oman;2017;121;76.6;84.6;42.3;93;0.26;34218.4;3.2;1925;12.2;67;91.1;99;89.5;;;42;11
823;Oman;2018;123;78.8;84.4;42;93.5;0.26;34212.1;3.2;1917;13.5;59;91.5;99;89.9;;;41;9
824;Oman;2019;127;80.4;85.7;42;87.8;0.26;33814.1;3.2;1903;14;51;91.9;99;90.3;;;41;8
825;Oman;2020;133;83.5;86;41.7;82.2;0.26;33098.2;3.2;1887;11.7;74;92.2;99;90.6;;;41;9
826;Oman;2021;135;;;;;0.26;34294.8;3.2;1876;;136;;;;;;;9
827;Oman;2022;135;;;;;0.26;;3.2;1876;;;;;;;;;
828;Pakistan;2017;111;77;65;27.3;-17.3;0.24;4891.7;3.28;1728;17.6;21;89.7;62.9;35.9;;1;51;26
829;Pakistan;2018;112;77.9;65.7;27.7;-18.1;0.24;5113.4;3.28;1730;13.7;26;89.9;64.8;35.7;;1;51;27
830;Pakistan;2019;111;79.2;66.3;28.7;-21.4;0.24;5157.5;3.28;1732;6.8;15;90;66.6;35.8;;1;50;25
831;Pakistan;2020;111;80.5;67;29.3;-20.2;0.3;5004.4;3.28;1734;6;23;90.1;68.4;35.8;;;50;26
832;Pakistan;2021;111;;;;;0.32;5232.1;3.28;1737;;22;;;;;;;28
833;Pakistan;2022;112;;;;;0.33;;3.28;1740;;;;;;;;;
834;Palau;2017;;;;;;;17594.7;3.02;;;;99;99;90.9;;;;
835;Palau;2018;;;;;;;17587.1;3.02;;;;99;99;91;;;;
836;Palau;2019;;;;;;;17605.5;3.02;;;;99;99;91.2;;;;
837;Palau;2020;;;;;;;15952.3;3.02;;;;99;99;91.3;;;;
838;Palau;2021;;;;;;;13785.4;3.02;;;;;;;;;;
839;Palau;2022;;;;;;;;3.02;;;;;;;;;;
840;Palestine;2017;;;;;;;6401.7;3.02;1719;10.6;;97;97.2;78.7;62.1;;;47
841;Palestine;2018;;;;;;;6318.2;3.02;1721;10.1;;97.3;97.6;79;63.6;;;48
842;Palestine;2019;;;;;;;6245.4;3.02;1724;10;;97.6;98.1;79.4;65.1;;;47
843;Palestine;2020;;;;;;;5402.5;3.02;1727;16.6;;97.9;98.6;79.7;66.7;;;45
844;Palestine;2021;;;;;;;5643.1;3.02;1731;;;;;;;;;37
845;Palestine;2022;;;;;;;;3.02;1735;;;;;;;;;
846;Panama;2017;124;80.4;78.7;42.3;71.1;0.28;30526.4;3.46;1782;4.9;59;93.6;81;;;;43;14
847;Panama;2018;128;82.6;82.1;44;68.8;0.28;31125.6;3.46;1783;5;37;93.9;82.2;;;;45;16
848;Panama;2019;131;89.2;84.4;46.4;66.5;0.28;31543.6;3.46;1785;4.9;56;94.2;83.4;;;;44;17
849;Panama;2020;132;95.5;87;48.7;64.5;0.28;25510.3;3.46;1787;5.8;66;94.4;84.6;;;;44;18
850;Panama;2021;132;;;;;0.29;29037.9;3.46;1789;;61;;;;;;;17
851;Panama;2022;132;;;;;0.3;;3.46;1790;;;;;;;;;
852;Papua New Guinea;2017;100;57.5;65;37.3;77.8;0.27;3966.9;1.51;1727;6.3;20;43;19;;;;46;10
853;Papua New Guinea;2018;100;55.8;64.3;36.3;90.6;0.27;3864.9;1.51;1730;5;20;43.8;19.1;;;;46;9
854;Papua New Guinea;2019;99;56.9;63.7;35.3;97.9;0.27;3947.9;1.51;1732;3.1;22;44.6;19.1;;;;46;7
855;Papua New Guinea;2020;100;57.8;63.3;34.7;100;0.27;3741.6;1.51;1735;1.6;9;45.3;19.2;;;;46;7
856;Papua New Guinea;2021;100;;;;;0.27;3677.5;1.51;1737;;19;;;;;;;7
857;Papua New Guinea;2022;99;;;;;0.27;;1.51;1740;;;;;;;;;
858;Paraguay;2017;131;87.3;66;26;-116.1;0.25;13604.2;3.09;1822;172;52;99;89.7;63.8;58.1;;48;8
859;Paraguay;2018;131;88.4;68;27;-63.4;0.25;13848.5;3.09;1824;38.6;56;99;90.7;64;58.8;;48;9
860;Paraguay;2019;131;89.6;70;27.7;-72.4;0.26;13609.7;3.09;1825;39.6;43;99;91.8;64;59.5;;49;9
861;Paraguay;2020;131;89;71.3;27.3;-74.6;0.26;13317.3;3.09;1826;73.9;17;99;92.7;64.1;60.1;;50;9
862;Paraguay;2021;131;;;;;0.26;13687.7;3.09;1827;;12;;;;;;;9
863;Paraguay;2022;130;;;;;0.27;;3.09;1829;;;;;;;;;
864;Peru;2017;120;58.2;86.3;40.3;51.3;0.25;12442.7;2.8;1778;6.3;14;91.4;76.5;50.4;45.4;;53;9
865;Peru;2018;120;59.2;87.4;41.7;52.7;0.25;12696.2;2.8;1781;12;19;92;77.2;50.7;47.8;;53;8
866;Peru;2019;121;61.3;89.4;43;54.1;0.25;12735.2;2.8;1784;10.4;19;92.6;77.9;51;50.3;;52;8
867;Peru;2020;122;63.2;90.7;44;54.2;0.27;11176.9;2.8;1787;8.6;18;93.1;78.6;51.3;52.8;;52;8
868;Peru;2021;122;;;;;0.26;12514.7;2.8;1789;;22;;;;;;;8
869;Peru;2022;122;;;;;0.26;;2.8;1790;;;;;;;;;
870;Philippines;2017;118;56.4;61.3;25.7;21.3;0.26;8001.8;1.98;1740;4.7;24;92.9;78;46.8;57.1;;58;12
871;Philippines;2018;121;59.1;62.7;26.3;23.9;0.25;8365.7;1.98;1742;4;30;93.3;79.4;47;58.3;;59;13
872;Philippines;2019;123;57.4;64.7;26.7;26.9;0.25;8731.9;1.98;1744;3.9;41;93.7;80.8;47.2;59.5;;60;14
873;Philippines;2020;125;54.6;66.7;26.7;28.5;0.27;7773.3;1.98;1746;3.7;42;94.1;82.3;47.5;60.6;;61;15
874;Philippines;2021;126;;;;;0.27;8094.7;1.98;1748;;31;;;;;;;16
875;Philippines;2022;127;;;;;0.27;;1.98;1750;;;;;;;;;
876;Poland;2017;134;123.5;102.7;56;-18.1;0.21;29958.1;2.14;1927;19.8;33;99;99;97.2;90.2;5.9;38;6
877;Poland;2018;137;125.3;104.3;57.3;-15;0.21;31739.3;2.14;1925;22.6;35;99;99;97.8;90.4;5.9;38;6
878;Poland;2019;138;127.3;106;58.7;-12.7;0.2;33159.7;2.14;1923;23.4;44;99;99;98.3;90.5;5.9;38;6
879;Poland;2020;139;130.3;107.7;60.7;-18.1;0.21;32546.8;2.14;1922;25.2;45;99;99;98.3;90.5;6;37;6
880;Poland;2021;141;;;;;0.21;34915.5;2.14;1922;;25;;;;;;;6
881;Poland;2022;140;;;;;0.21;;2.14;1926;;;;;;;;;
882;Portugal;2017;138;135.3;113;70.3;72.1;0.21;33044.7;2.26;1914;30.9;27;99;99;95.4;82.8;2.8;33;13
883;Portugal;2018;138;135.3;115;73;74.3;0.21;34040.7;2.26;1913;33.6;26;99;99;95.4;84.8;2.8;32;13
884;Portugal;2019;139;139.4;116.7;75;75.2;0.2;34945.7;2.26;1911;38.2;29;99;99;95.4;85;2.7;32;13
885;Portugal;2020;140;144;117.7;76.3;74.8;0.21;32011.3;2.26;1911;35.6;25;99;99;95.4;85.1;2.7;31;14
886;Portugal;2021;141;;;;;0.2;33674.5;2.26;1910;;24;;;;;;;14
887;Portugal;2022;142;;;;;0.21;;2.26;1910;;;;;;;;;
888;Puerto Rico;2017;;;;;;0.11;34363.8;3.02;1908;2.7;;99;99;99;32.5;;;
889;Puerto Rico;2018;;;;;;0.11;34223.1;3.02;1908;2.4;;99;99;99;32.5;;;
890;Puerto Rico;2019;;;;;;0.11;34792.7;3.02;1911;2.9;;99;99;99;32.5;;;
891;Puerto Rico;2020;;;;;;0.11;32387.2;3.02;1911;1.3;;99;99;99;32.5;;;
892;Puerto Rico;2021;;;;;;0.11;32632.9;3.02;1909;;;;;;;;;
893;Puerto Rico;2022;;;;;;0.11;;3.02;1909;;;;;;;;;
894;Qatar;2017;;;;;;0.11;92177.6;3.02;2057;5.3;;99;99;96.2;97.2;;;4
895;Qatar;2018;;;;;;0.11;91461.6;3.02;2053;6.4;;99;99;96.2;97.2;;;4
896;Qatar;2019;;;34.2;16.3;;0.11;90840.4;3.02;2042;5.1;;99;99;96.2;97.2;;;4
897;Qatar;2020;;;67.1;31.7;;0.11;89019.1;3.02;2033;4.9;;99;99;96.2;97.2;;;4
898;Qatar;2021;;;;;;0.11;92862.4;3.02;2030;;;;;;;;;4
899;Qatar;2022;;;;;;0.11;;3.02;2030;;;;;;;;;
900;Republic of Korea;2017;134;114.1;95;50.3;72.1;0.22;40957.4;1.24;1897;7.7;23;99;99;98.9;97.7;4.1;37;4
901;Republic of Korea;2018;135;116.6;96.7;51.3;73.1;0.22;41965.9;1.24;1896;7.5;18;99;99;99;99;4.2;36;4
902;Republic of Korea;2019;136;120.4;97.3;52.3;73.9;0.22;42758.6;1.24;1896;7.5;18;99;99;99;99;4.1;36;4
903;Republic of Korea;2020;136;123.6;97.7;53;76;0.22;42396.8;1.24;1896;3.6;15;99;99;99;99;4.3;35;4
904;Republic of Korea;2021;135;;;;;0.22;44232.2;1.24;1896;;14;;;;;;;4
905;Republic of Korea;2022;135;;;;;0.22;;1.24;1895;;;;;;;;;
906;Republic of Moldova;2017;136;73;70.7;29.3;-44.2;0.19;11651.2;2.03;1896;68.1;14;89.4;77.1;73.1;;3.4;49;21
907;Republic of Moldova;2018;139;73.8;71;29.3;-47.4;0.19;12367.8;2.03;1891;58.6;14;89.8;77.6;73.4;;3.4;49;21
908;Republic of Moldova;2019;140;73.7;70.3;28.3;-50.6;0.19;13030.2;2.03;1890;70.7;11;90.2;78.2;73.7;;3.4;49;21
909;Republic of Moldova;2020;140;75.1;69.3;27.7;-57.1;0.2;12201.8;2.03;1890;71.5;10;90.6;78.7;74.1;;3.4;49;23
910;Republic of Moldova;2021;140;;;;;0.2;14009.2;2.03;1889;;39;;;;;;;24
911;Republic of Moldova;2022;137;;;;;0.2;;2.03;1897;;;;;;;;;
912;Romania;2017;144;121.7;108.3;54.3;-59.1;0.21;26943.3;2.22;1911;58.9;88;99;84.6;81.9;77.4;4.5;40;9
913;Romania;2018;145;122.8;108.7;54.3;-44.1;0.21;28736.1;2.22;1909;50.1;76;99;85.4;81.9;79.8;4.5;40;9
914;Romania;2019;146;124;108;53.3;-41.3;0.2;30001;2.22;1907;64.2;53;99;86.2;82;82.3;4.5;41;9
915;Romania;2020;147;126.1;107;53;-51.4;0.2;29057.3;2.22;1907;64.1;39;99;87.1;82;83.1;4.5;41;10
916;Romania;2021;148;;;;;0.21;30771.4;2.22;1907;;28;;;;;;;11
917;Romania;2022;148;;;;;0.23;;2.22;1910;;;;;;;;;
918;Russian Federation;2017;135;107.9;101.7;53.3;-42.3;0.22;25926.4;2.19;1896;18.5;28;96.7;88.6;75.8;60.2;0.5;42;7
919;Russian Federation;2018;136;110.1;102;54;-68.1;0.22;26656.4;2.19;1896;8.3;19;96.8;88.9;75.9;60.5;0.5;41;6
920;Russian Federation;2019;136;112.2;103;55;-72.6;0.22;27254.6;2.19;1896;11.3;18;96.9;89.1;76;60.7;0.5;41;6
921;Russian Federation;2020;137;115.1;104;55.7;-73.5;0.22;26583.8;2.19;1897;11.1;12;97;89.4;76.1;60.8;0.5;41;6
922;Russian Federation;2021;137;;;;;0.22;27960.1;2.19;1899;;21;;;;;;;6
923;Russian Federation;2022;138;;;;;0.22;;2.19;1901;;;;;;;;;
924;Rwanda;2017;100;26.6;59.7;8;35.2;0.34;1935;3.2;1725;39.5;24;58.7;66.6;11.1;;;54;53
925;Rwanda;2018;100;27.2;59.7;7.7;36.8;0.34;2050.4;3.2;1728;33.1;37;59.6;67.7;11.6;;;54;52
926;Rwanda;2019;100;27.5;59;7.3;35.6;0.35;2191.4;3.2;1731;11.7;33;60.4;68.9;12.1;;;54;48
927;Rwanda;2020;99;27;57.6;7;34;0.36;2067.6;3.2;1734;15.7;24;60.4;68.8;12.1;;;54;39
928;Rwanda;2021;100;;;;;0.37;2239;3.2;1737;;19;;;;;;;41
929;Rwanda;2022;101;;;;;0.34;;3.2;1740;;;;;;;;;
930;Saint Kitts and Nevis;2017;;105.8;78.3;50;;0.26;29333.4;3.28;1905;6.8;;98.6;95;;;;28;127
931;Saint Kitts and Nevis;2018;;107.2;78;49.7;;0.26;29950.5;3.28;1904;3.7;;;;;;;27;120
932;Saint Kitts and Nevis;2019;;108;75;47.3;;0.26;31194.7;3.28;1906;4.2;;;;;;;27;95
933;Saint Kitts and Nevis;2020;;105.8;70.7;44.3;;0.26;26700.7;3.28;1907;8.3;;;;;;;29;76
934;Saint Kitts and Nevis;2021;;;;;;0.26;26485.8;3.28;1905;;;;;;;;;69
935;Saint Kitts and Nevis;2022;;;;;;0.26;;3.28;1907;;;;;;;;;
936;Saint Lucia;2017;;83.7;86;52.3;98.8;0.22;15247.5;3.63;1927;3.1;;96.4;83.3;;;;35;97
937;Saint Lucia;2018;;83.8;88;54.3;100;0.22;15622.8;3.63;1926;3;;96.9;83.4;;;;35;117
938;Saint Lucia;2019;;80.6;87;53;100;0.22;15460.8;3.63;1926;7.5;;96.9;83.4;;;;34;132
939;Saint Lucia;2020;;76.9;87.7;54;100;0.22;11651.2;3.63;1924;10.1;;96.9;83.4;;;;35;157
940;Saint Lucia;2021;;;;;;0.22;13046;3.63;1925;;;;;;;;;314
941;Saint Lucia;2022;;;;;;0.22;;3.63;1925;;;;;;;;;
942;Saint Vincent and the Grenadines;2017;125;82.4;89.7;49.7;100;0.24;13633;3.7;1918;8.9;14;95.1;87.2;;;;38;192
943;Saint Vincent and the Grenadines;2018;127;87;88.7;49.3;100;0.24;14084.9;3.7;1916;9.1;38;95.1;87.2;;;;36;193
944;Saint Vincent and the Grenadines;2019;128;90;89.3;50;97.3;0.24;14190;3.7;1914;9;51;;;;;;34;210
945;Saint Vincent and the Grenadines;2020;128;94;88.3;50;89.6;0.24;13473.6;3.7;1912;8.1;46;;;;;;33;182
946;Saint Vincent and the Grenadines;2021;127;;;;;0.24;13695;3.7;1912;;56;;;;;;;165
947;Saint Vincent and the Grenadines;2022;130;;;;;0.24;;3.7;1910;;;;;;;;;
948;Samoa;2017;121;135.3;88;53;;0.27;6238.8;3.26;1812;45.9;5;91.7;96.6;46.2;47.7;;31;163
949;Samoa;2018;121;136.9;87.7;52.3;;0.27;6139.5;3.26;1813;46.9;9;91.8;96.8;46.2;47.7;;31;180
950;Samoa;2019;122;129.1;88;51.3;98.6;0.27;6346.1;3.26;1815;38.7;23;91.8;96.8;46.2;47.7;;34;193
951;Samoa;2020;123;121.7;87.3;49.7;;0.27;6062.4;3.26;1813;7.1;24;91.8;96.8;46.2;47.7;;38;204
952;Samoa;2021;129;;;;;0.27;5534.1;3.26;1817;;46;;;;;;;224
953;Samoa;2022;132;;;;;0.27;;3.26;1820;;;;;;;;;
954;Sao Tome and Principe;2017;105;71.8;52.3;16.7;;0.23;3934.9;3.2;1749;12.2;23;78.1;43.4;35.1;31.3;;42;310
955;Sao Tome and Principe;2018;105;71.7;52.7;16.7;;0.23;3987.4;3.2;1755;13.2;21;78.2;44.8;35.5;32.4;;43;273
956;Sao Tome and Principe;2019;105;68.8;53.7;17.3;;0.23;4013.7;3.2;1759;12.6;21;78.2;46.2;35.8;33.5;;44;282
957;Sao Tome and Principe;2020;106;66.5;54.7;18;;0.23;4058.7;3.2;1762;12.4;19;78.2;47.6;36.2;34.7;;46;300
958;Sao Tome and Principe;2021;107;;;;;0.23;4052.1;3.2;1769;;7;;;;;;;310
959;Sao Tome and Principe;2022;108;;;;;0.23;;3.2;1775;;;;;;;;;
960;Saudi Arabia;2017;133;106.3;90;36.3;89;0.28;45795.5;4.03;1868;7.9;82;99;99;;55.5;0.1;49;10
961;Saudi Arabia;2018;133;106.3;88.3;34.6;95.2;0.28;45840.8;4.03;1871;9.3;71;99;99;;56.6;0.1;49;8
962;Saudi Arabia;2019;133;105.2;88;33.7;94.2;0.28;44955;4.03;1875;8.3;28;99;99;;57.8;;49;7
963;Saudi Arabia;2020;133;102.7;89.4;34.7;93.7;0.28;42891.7;4.03;1873;4.8;37;99;99;;59.1;;49;7
964;Saudi Arabia;2021;134;;;;;0.27;44339.3;4.03;1870;;40;;;;;;;8
965;Saudi Arabia;2022;134;;;;;0.27;;4.03;1870;;;;;;;;;
966;Senegal;2017;115;66.9;61.7;14.3;47.8;0.24;3259.2;2.46;1754;13.2;33;81.1;54;;22.4;;64;50
967;Senegal;2018;117;67.4;62.7;14.3;46.5;0.24;3368.9;2.46;1758;16.9;20;82.4;54.9;;23.1;;64;48
968;Senegal;2019;118;69;63;13.6;44.7;0.25;3430.5;2.46;1761;20.6;20;83.7;55.8;;23.8;;63;44
969;Senegal;2020;120;71.5;63.7;12.6;43.3;0.26;3383.9;2.46;1764;15.6;19;84.9;56.8;;24.1;;63;42
970;Senegal;2021;122;;;;;0.26;3495.4;2.46;1767;;27;;;;;;;40
971;Senegal;2022;124;;;;;0.26;;2.46;1771;;;;;;;;;
972;Serbia;2017;131;84.1;84;41.3;-54.7;0.2;16611;1.5;1914;70.9;117;94.1;97.8;74.9;18.3;4.2;43;8
973;Serbia;2018;131;86.5;83.7;41;-45.9;0.2;17452.8;1.5;1914;59.1;97;94.5;97.9;75;18.1;4.2;42;7
974;Serbia;2019;133;87.3;85;41.7;-51.8;0.2;18306.8;1.5;1913;63.2;22;94.9;97.9;75;18.2;4.2;43;8
975;Serbia;2020;135;89.9;87;43;-52.6;0.22;18262.7;1.5;1912;64.7;24;95.3;97.9;75;18.4;3.9;43;8
976;Serbia;2021;138;;;;;0.22;19827.8;1.5;1911;;40;;;;;;;9
977;Serbia;2022;140;;;;;0.21;;1.5;1911;;;;;;;;;
978;Seychelles;2017;119;97.3;90;48.7;100;0.23;28116.7;1.51;1872;3.5;49;96.3;99;;;;38;31
979;Seychelles;2018;120;98.5;93.4;51;98.5;0.23;28740.5;1.51;1872;3.9;71;96.3;99;;;;38;29
980;Seychelles;2019;121;97.4;96;51.3;97;0.23;29369.5;1.51;1872;3.3;54;96.9;99;;;;40;27
981;Seychelles;2020;121;95.4;98;51;95.5;0.23;26879.8;1.51;1870;3.3;41;;99;;;;41;30
982;Seychelles;2021;122;;;;;0.23;28760.5;1.51;1867;;23;;;;;;;34
983;Seychelles;2022;120;;;;;0.23;;1.51;1866;;;;;;;;;
984;Sierra Leone;2017;106;48.6;49;11.3;40.5;0.35;1593.5;2.43;1736;24.3;73;60.2;15.5;9.6;13.2;;70;61
985;Sierra Leone;2018;105;46.9;48.7;11;39.5;0.35;1610.2;2.43;1740;28.5;56;61.4;15.9;9.9;13.5;;70;57
986;Sierra Leone;2019;105;49.7;49.3;11.3;40.3;0.35;1655.7;2.43;1742;20.9;40;62.6;16.2;10.3;13.8;;69;59
987;Sierra Leone;2020;104;51.4;49.7;11.7;38.8;0.35;1586.2;2.43;1746;10.7;43;63.8;16.5;10.6;14;;68;70
988;Sierra Leone;2021;104;;;;;0.34;1614.7;2.43;1749;;23;;;;;;;72
989;Sierra Leone;2022;104;;;;;0.35;;2.43;1753;;;;;;;;;
990;Singapore;2017;;;;;;0.11;95310.3;3.02;1917;0.3;;99;99;99;99;;;3
991;Singapore;2018;;;;;;0.11;98337;3.02;1914;1;;99;99;99;99;;;3
992;Singapore;2019;;;;;;0.11;98283.3;3.02;1910;1;;99;99;99;99;;;3
993;Singapore;2020;;;;;;0.11;94505.6;3.02;1907;1;;99;99;99;99;;;3
994;Singapore;2021;;;;;;0.11;106032;3.02;1906;;;;;;;;;3
