;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Rail lines density (total route in km per 100 square km of land area);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
147;Botswana;2020;104;68.3;70.7;27.7;81.6;0.37;13545.7;1.54;1820;12.5;36;92.2;80;;;0.2;54;13
148;Botswana;2021;107;;;;;0.37;14840.9;1.54;1824;;22;;;;;;;14
149;Botswana;2022;109;;;;;0.36;;1.54;1827;;;;;;;;;
150;Brazil;2017;132;125;93;52.3;-22.5;0.24;14477.9;3.35;1887;25.3;37;98.5;87.7;83.5;45.9;;32;4
151;Brazil;2018;133;125.8;94.3;53.3;-17.5;0.24;14619.6;3.35;1887;25.8;39;98.7;88.5;84.3;46.8;;33;4
152;Brazil;2019;133;129.5;94;54.3;-26.1;0.24;14685.1;3.35;1887;24.1;37;98.9;89.3;85.1;47.8;;32;4
153;Brazil;2020;134;134.5;93.7;55;-28.3;0.27;14022;3.35;1888;23.9;26;99;90.1;85.8;48.7;;31;4
154;Brazil;2021;134;;;;;0.3;14592.4;3.35;1889;;27;;;;;;;4
155;Brazil;2022;134;;;;;0.29;;3.35;1889;;;;;;;;;
156;Brunei Darussalam;2017;;;;;;0.21;60173.1;1.59;1866;6.7;;99;;;;;;7
157;Brunei Darussalam;2018;;;;;;0.21;59650.2;1.59;1868;7.8;;99;;;;;;7
158;Brunei Darussalam;2019;;;;;;0.21;61424.4;1.59;1869;3.9;;99;;;;;;6
159;Brunei Darussalam;2020;;;;;;0.21;61603.6;1.59;1869;4.5;;99;;;;;;6
160;Brunei Darussalam;2021;;;;;;0.21;60127;1.59;1870;;;;;;;;;5
161;Brunei Darussalam;2022;;;;;;0.21;;1.59;1869;;;;;;;;;
162;Bulgaria;2017;112;92.8;83.7;40;-189.5;0.19;21470;1.5;1911;42.4;42;99;86;97.4;66.8;3.6;42;9
