;Area Code;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
230;58;Ecuador;2017;112;97,3;63,3;31,7;30,2;0,24;11679,4;3,45;1783;20;55;94,3;88,7;66,2;41,8;44;6
231;58;Ecuador;2018;111;96,5;62,3;30,7;34,2;0,25;11608,4;3,45;1787;21,5;49;94,7;89,7;66,4;41,8;44;6
232;58;Ecuador;2019;110;96,3;62;30,3;36;0,25;11390,2;3,45;1790;20,8;54;95;90,6;66,6;41,7;45;6
233;58;Ecuador;2020;110;94,2;62;30;34,7;0,27;10357;3,45;1793;18,3;47;95,4;91,5;66,8;41,6;45;7
234;58;Ecuador;2021;110;;;;;0,27;10668,8;3,45;1796;;20;;;;;;7
235;59;Egypt;2017;136;57,8;97,3;24;44,2;0,32;10435,9;2,22;1807;6,6;30;99;96,4;;64,6;66;46
236;59;Egypt;2018;135;58,2;97;24,7;47,8;0,32;10783,8;2,22;1809;5;17;99;96,7;;65,5;66;44
237;59;Egypt;2019;135;59,1;97;25,3;47;0,32;11180,7;2,22;1811;8,2;16;99;97;;66,3;66;47
238;59;Egypt;2020;135;60,7;95,3;24,3;47,4;0,32;11380,8;2,22;1814;7,7;19;99;97,3;;67,1;66;48
239;59;Egypt;2021;134;;;;;0,33;11566;2,22;1817;;32;;;;;;45
240;60;El Salvador;2017;117;61;75,3;26,7;46,2;0,26;8617,9;3,46;1775;5,9;14;97,2;82,9;;;48;28
241;60;El Salvador;2018;119;62,1;75,3;26,3;47,8;0,26;8812,2;3,46;1777;5,5;26;97,6;82,8;;;48;29
242;60;El Salvador;2019;121;63,9;76,3;26,3;51,4;0,26;9021,4;3,46;1780;5,6;34;97,8;82,7;;;49;29
243;60;El Salvador;2020;121;64,7;79;27,3;53,5;0,27;8267,3;3,46;1783;6,6;43;97,9;82,4;;;51;34
244;60;El Salvador;2021;121;;;;;0,26;9086;3,46;1786;;35;;;;;;36
245;61;Equatorial Guinea;2017;;;;;;0,11;19617,8;3,02;1768;1,1;;64,7;66,3;;;;5
246;61;Equatorial Guinea;2018;;;;;;0,11;17765;3,02;1771;1,1;;;;;;;5
247;61;Equatorial Guinea;2019;;;;;;0,11;16240,4;3,02;1774;1,1;;;;;;;5
248;61;Equatorial Guinea;2020;;;;;;0,11;15132,4;3,02;1778;1;;;;;;;5
249;61;Equatorial Guinea;2021;;;;;;0,11;14637;3,02;1779;;;;;;;;6
250;63;Estonia;2017;122;119,6;102;63,3;-341,8;0,21;33821,9;1,99;1946;58,5;39;99;99;95,8;93;29;9
251;63;Estonia;2018;123;121,3;102,7;63,7;-343,3;0,21;34979,9;1,99;1945;57,7;45;99;99;95,8;93;29;9
252;63;Estonia;2019;125;128,3;103;65,3;-129,7;0,21;36153,4;1,99;1946;83,9;45;99;99;95,8;93,1;27;8
253;63;Estonia;2020;127;133;103;67,7;-138,4;0,21;35883,3;1,99;1945;85,3;64;99;99;95,8;93,1;25;8
254;63;Estonia;2021;127;;;;;0,21;38717,7;1,99;1946;;65;;;;;;8
255;66;Fiji;2017;111;72,3;71,3;28,3;100;0,24;12822;1,17;1829;29,6;29;94,3;98,4;;;51;33
256;66;Fiji;2018;112;75,4;73;31,3;100;0,24;13311,2;1,17;1830;27,9;24;94,3;98,8;;;50;35
257;66;Fiji;2019;115;78,5;75;33,3;100;0,24;13241,4;1,17;1833;29,9;32;94,3;99;;;49;34
258;66;Fiji;2020;117;79,1;76,7;34;89,2;0,24;10966,9;1,17;1835;31;49;94,3;99;;;50;35
259;66;Fiji;2021;119;;;;;0,28;10359,2;1,17;1835;;54;;;;;;37
260;67;Finland;2017;128;140,3;117,7;74,3;-23,5;0,2;47570,1;2,2;1951;15,9;20;99;99;99;84,1;32;7
261;67;Finland;2018;129;140,4;117,7;74,3;-16,9;0,2;48048,5;2,2;1952;4,7;11;99;99;99;84,1;32;6
262;67;Finland;2019;130;137,3;118,3;74,3;-11,8;0,2;48583,4;2,2;1954;15;13;99;99;99;84,1;32;6
263;67;Finland;2020;131;137,3;118;74,3;-12,9;0,2;47443,9;2,2;1956;20;16;99;99;99;84,1;32;6
264;67;Finland;2021;132;;;;;0,21;48753,4;2,2;1957;;14;;;;;;6
265;68;France;2017;145;149,1;108,7;63,3;-115;0,2;44577,1;2,04;1914;30,6;78;99;98,7;99;78,6;34;9
266;68;France;2018;145;149,6;108,7;63,7;-116,7;0,2;45246;2,04;1914;32,3;67;99;98,6;99;78,6;34;9
267;68;France;2019;143;150,8;112;67,7;-69,5;0,2;45922,8;2,04;1915;27,5;50;99;98,6;99;78,6;33;9
268;68;France;2020;141;151,9;115,3;71,3;-104,4;0,2;42233,1;2,04;1915;25,1;56;99;98,6;99;78,6;33;9
269;68;France;2021;141;;;;;0,2;44993,1;2,04;1916;;65;;;;;;9
270;70;French Polynesia;2017;115;125,1;96;62,3;100;0,23;;2,38;1880;3,9;24;99;97,1;86,2;;36;237
271;70;French Polynesia;2018;114;123,3;95,3;62;100;0,23;;2,38;1880;4;29;99;97,1;85,4;;37;235
272;70;French Polynesia;2019;114;122,4;95,7;62;99,3;0,23;;2,38;1879;2,8;25;99;97;84,6;;38;265
273;70;French Polynesia;2020;115;122,3;96;62,7;;0,23;;2,38;1878;0,5;28;99;97;83,9;;37;298
274;70;French Polynesia;2021;116;;;;;0,23;;2,38;1877;;31;;;;;;333
275;72;Djibouti;2017;105;63,4;69,7;15,3;100;0,3;4451,7;1,27;1836;10,7;47;75,9;64;;35,4;55;61
276;72;Djibouti;2018;105;63,2;68,7;15;100;0,3;4589,4;1,27;1837;9,6;36;75,9;65,3;;36,2;55;36
277;72;Djibouti;2019;106;62;68,3;14;98,8;0,3;4768,1;1,27;1841;9,1;24;76;66,6;;37;55;28
278;72;Djibouti;2020;106;62;68,3;13;98,8;0,3;4753,9;1,27;1843;9,5;16;76;66,7;;37,1;55;31
279;72;Djibouti;2021;108;;;;;0,3;4913,3;1,27;1845;;14;;;;;;40
280;73;Georgia;2017;126;70,6;78,7;29,7;64,7;0,25;13589,7;2,05;1889;25,5;41;97;86,3;65,7;35,8;54;38
281;73;Georgia;2018;127;72,1;78,7;30,3;65,4;0,25;14253,4;2,05;1887;28,8;47;97,1;86,1;65,9;35;53;34
282;73;Georgia;2019;130;75,2;80,7;32;67,1;0,25;14989,3;2,05;1885;19,5;51;97,2;85,9;66,1;34,7;53;30
283;73;Georgia;2020;132;77,1;82,7;33;63,2;0,29;13966,3;2,05;1885;18,5;66;97,3;85,8;66,4;34,4;52;29
284;73;Georgia;2021;133;;;;;0,26;15486,7;2,05;1886;;62;;;;;;27
285;74;Gabon;2017;112;54,5;82,6;40,3;89,1;0,32;14478,1;2,5;1778;2,5;15;84,5;49,2;;;52;10
286;74;Gabon;2018;111;53,9;81;39,3;90,7;0,32;14254,5;2,5;1779;1,8;26;84,9;49,5;;;52;9
287;74;Gabon;2019;110;54,5;79,7;38,3;92,4;0,33;14478;2,5;1781;1,7;26;85,2;49,8;;;52;8
288;74;Gabon;2020;109;54,6;79,7;38,7;91,2;0,35;13903,3;2,5;1783;1,2;27;85,3;49,8;;;52;8
289;74;Gabon;2021;108;;;;;0,33;13813,7;2,5;1785;;17;;;;;;8
290;75;Gambia;2017;108;62,1;64,7;17,3;59,5;0,28;1927;1,72;1742;5,4;35;79,9;46,5;41,6;30,8;61;155
291;75;Gambia;2018;107;61,2;63,6;17,3;65,3;0,28;2012,6;1,72;1747;5,4;22;80,3;46,6;42,8;30,2;60;151
292;75;Gambia;2019;106;59,8;62,6;18;73,2;0,28;2083,3;1,72;1751;8,2;28;80,6;46,7;44;29,6;58;138
293;75;Gambia;2020;106;57;61,7;18;71,7;0,3;2042,6;1,72;1756;8,2;25;80,9;46,9;44,7;29;58;158
294;75;Gambia;2021;107;;;;;0,3;2076,6;1,72;1760;;34;;;;;;209
295;79;Germany;2017;141;145;104,3;62,7;-12,1;0,2;53071,5;1,84;1949;16,5;13;99;99;99;97;28;5
296;79;Germany;2018;141;147,5;104,3;63;-6,7;0,2;53431,4;1,84;1946;15,3;12;99;99;99;97,1;28;5
297;79;Germany;2019;142;154;104,7;64;-1;0,2;53874,3;1,84;1944;24,1;13;99;99;99;97,1;27;5
298;79;Germany;2020;143;160,2;105;65,7;-0,3;0,2;51840,3;1,84;1942;16,2;15;99;99;99;97,1;26;5
299;79;Germany;2021;145;;;;;0,21;53179,7;1,84;1940;;25;;;;;;5
300;80;Bosnia and Herzegovina;2017;128;86;97,3;36,3;34,9;0,21;13400;2,4;1925;34,6;74;96,1;95,4;88,8;38,6;46;26
301;80;Bosnia and Herzegovina;2018;129;87;98;36,7;30,7;0,21;14064,3;2,4;1923;36;52;96,1;95,4;88,9;40,3;46;24
302;80;Bosnia and Herzegovina;2019;130;88,3;99;37;30,7;0,21;14632,1;2,4;1920;42,9;28;96,1;;88,9;;45;24
303;80;Bosnia and Herzegovina;2020;131;88,8;100,7;37,3;25;0,22;14356,4;2,4;1920;34,4;32;96,1;;88,9;;45;24
304;80;Bosnia and Herzegovina;2021;133;;;;;0,23;15663,7;2,4;1918;;37;;;;;;23
305;81;Ghana;2017;124;39,9;59,3;14,3;34,5;0,29;4929,6;2,63;1772;9,3;78;82,4;20,9;36,3;11,9;66;15
306;81;Ghana;2018;126;40,1;60;14,7;34,7;0,3;5125,2;2,63;1775;8;60;83,5;21,8;38;12,4;66;13
307;81;Ghana;2019;129;40,8;61,7;15;36,3;0,29;5345,9;2,63;1778;8,6;57;84,7;22,8;39,7;12,9;66;12
308;81;Ghana;2020;132;42,1;63,4;15,3;36,2;0,29;5263,5;2,63;1781;8,3;73;85,8;23,7;41,4;13,3;66;14
309;81;Ghana;2021;133;;;;;0,29;5435,2;2,63;1784;;80;;;;;;16
310;83;Kiribati;2017;119;124,3;71,7;36,7;;0,29;1962,3;2,76;1694;38,7;66;75,5;44,4;13,9;25,7;36;298
311;83;Kiribati;2018;119;123,3;71;36,7;;0,29;2033,7;2,76;1690;48,3;36;76,4;44,8;14,1;26;35;264
312;83;Kiribati;2019;119;121,1;71,7;36,7;;0,29;1990,5;2,76;1751;45,7;16;77,2;45,2;14,4;26,4;36;234
313;83;Kiribati;2020;118;118,5;72,7;37,3;;0,29;1944,8;2,76;1749;43,2;12;78;45,6;14,7;26,7;37;272
314;83;Kiribati;2021;118;;;;;0,29;1937,1;2,76;1749;;24;;;;;;366
315;84;Greece;2017;134;148,2;105,3;57;25,3;0,21;28604,9;2,09;1931;40,8;57;99;99;99;89,4;32;19
316;84;Greece;2018;134;150;106,3;59;28,7;0,21;29141,2;2,09;1931;38,5;52;99;99;99;90,2;31;18
317;84;Greece;2019;135;154,7;106,7;61,3;33,1;0,21;29721,6;2,09;1931;23,8;28;99;99;99;90,9;29;17
318;84;Greece;2020;135;156,9;105,7;62,3;32,4;0,21;27103,5;2,09;1931;17,6;31;99;99;99;91,7;28;16
319;84;Greece;2021;135;;;;;0,21;29548;2,09;1931;;31;;;;;;16
320;85;Greenland;2017;;;;;;;;3,02;;;;99;99;96,7;91,4;;
321;85;Greenland;2018;;;;;;;;3,02;;;;99;99;96,7;91,7;;
322;85;Greenland;2019;;;;;;;;3,02;;;;99;99;96,7;91,9;;
323;85;Greenland;2020;;;;;;;;3,02;;;;99;99;96,7;91,9;;
324;85;Greenland;2021;;;;;;;;3,02;;;;;;;;;
325;86;Grenada;2017;;79,7;71,3;40,3;96,8;0,28;14870;3,6;1915;17,5;;95,6;91,5;87,1;;29;261
326;86;Grenada;2018;;80,9;72,3;42,3;100;0,28;15401,7;3,6;1913;14,7;;;;;;30;296
327;86;Grenada;2019;;84;73,3;45,3;100;0,28;15393,8;3,6;1913;12,2;;;;;;29;311
328;86;Grenada;2020;;89,1;74,3;47,7;100;0,28;13175,4;3,6;1911;17,9;;;;;;26;338
329;86;Grenada;2021;;;;;;0,26;13688,3;3,6;1909;;;;;;;;327
330;89;Guatemala;2017;118;63,1;69,7;21,7;46,9;0,33;8322,2;3,12;1703;19,9;22;92,9;67,2;55;;49;20
331;89;Guatemala;2018;118;63,2;69,3;21,3;47,8;0,33;8469,1;3,12;1707;16;14;93,2;67,4;55,3;;49;21
332;89;Guatemala;2019;119;60,7;68,7;21,7;51,5;0,33;8671,7;3,12;1711;12,7;18;93,6;67,7;55,6;;50;22
333;89;Guatemala;2020;120;61,1;68,3;22,7;52,9;0,35;8390,2;3,12;1715;15,7;16;94;67,9;55,8;;49;23
334;89;Guatemala;2021;123;;;;;0,35;8926,7;3,12;1720;;28;;;;;;25
335;90;Guinea;2017;121;67,7;56;10,7;26,3;0,33;2383,6;3,72;1722;2,6;21;63,8;26;;;62;28
336;90;Guinea;2018;123;66,8;56,7;11;27,8;0,34;2471,7;3,72;1720;2,4;15;63,9;27,2;;;63;26
337;90;Guinea;2019;125;68,7;57;11,3;26,4;0,34;2545,1;3,72;1723;2,1;20;63,9;28,5;;;63;21
338;90;Guinea;2020;127;68,8;57,3;11,3;25,5;0,37;2604,1;3,72;1726;2,1;31;64;29,8;;;63;16
339;90;Guinea;2021;129;;;;;0,37;2640,3;3,72;1730;;35;;;;;;13
340;91;Guyana;2017;131;56,9;90,3;37,3;-51,1;0,25;12193,6;3,82;1792;64;96;95,5;85,8;;;45;17
341;91;Guyana;2018;131;58,3;89,7;36;-46,3;0,25;12374,2;3,82;1798;54,9;92;95,5;85,8;;;44;17
342;91;Guyana;2019;131;62,6;90;36,3;-51,2;0,25;12820,5;3,82;1801;54,9;67;95,5;85,8;;;42;16
343;91;Guyana;2020;130;65,7;90,3;36,7;16,1;0,25;18430,6;3,82;1795;54;113;95,6;85,8;;;40;13
344;91;Guyana;2021;135;;;;;0,25;21925,2;3,82;1794;;136;;;;;;10
345;93;Haiti;2017;94;47,5;49,3;10;65,2;0,37;3187,8;3,14;1812;3,9;30;65,5;34,7;;;54;134
346;93;Haiti;2018;92;47,5;49;10;71,8;0,37;3197,1;3,14;1814;5;25;65,9;35,8;;;54;129
347;93;Haiti;2019;91;45,3;47,6;10;76,6;0,37;3101,6;3,14;1816;6,4;31;66,3;36,9;;;54;122
348;93;Haiti;2020;90;43,2;46;10;82,5;0,37;2959,1;3,14;1818;7,1;28;66,7;37,1;;;55;133
349;93;Haiti;2021;90;;;;;0,29;2870,1;3,14;1820;;13;;;;;;142
350;95;Honduras;2017;114;83,9;60,3;20;58,1;0,3;5447,7;2,63;1773;10;46;94,2;80,9;;48,6;45;16
351;95;Honduras;2018;114;84,6;61,3;20,3;57,6;0,3;5561,3;2,63;1777;9;31;94,7;81,9;;48,9;45;16
352;95;Honduras;2019;115;86,3;61,7;20,7;59,4;0,3;5613,7;2,63;1780;11;10;95,2;82,8;;49,3;44;16
353;95;Honduras;2020;115;87,9;61,7;21;60,2;0,31;5028,1;2,63;1783;7,9;10;95,7;83,8;;49,7;44;17
354;95;Honduras;2021;115;;;;;0,37;5572,2;2,63;1786;;8;;;;;;18
355;97;Hungary;2017;127;149,8;86,7;48,3;-100,3;0,21;29501,1;1,5;1935;89,5;79;99;98;92,5;86,9;29;4
356;97;Hungary;2018;128;153,1;88;49,7;-82,1;0,21;31122,5;1,5;1935;52,8;75;99;98;92,6;87,7;29;4
357;97;Hungary;2019;130;152,8;89;50,3;-86;0,21;32649,1;1,5;1935;30,7;62;99;98;92,6;87,8;29;4
358;97;Hungary;2020;130;152,5;88,7;50,7;-90,5;0,21;31231,6;1,5;1935;32,3;28;99;98;92,6;87,8;29;4
359;97;Hungary;2021;131;;;;;0,22;33593,2;1,5;1935;;33;;;;;;4
360;98;Croatia;2017;124;113,8;88,7;51,3;-26;0,21;27207;2,03;1914;39,7;53;;96,5;;71,7;32;17
361;98;Croatia;2018;125;115,1;90,3;53;-26,9;0,21;28220;2,03;1913;37,8;51;;96,5;;70,4;31;17
362;98;Croatia;2019;126;117,2;92;55,3;-31,1;0,21;29347,5;2,03;1913;40;50;;96,6;;69,1;30;17
363;98;Croatia;2020;128;119,1;93,3;56;-44,8;0,22;26945,9;2,03;1911;36,8;34;;96,6;;67,8;30;17
364;98;Croatia;2021;130;;;;;0,21;31630,2;2,03;1911;;28;;;;;;17
365;99;Iceland;2017;136;165,5;141,4;102;91,3;0,2;55638,5;2,31;1953;14,6;60;99;98,8;99;78,8;24;9
366;99;Iceland;2018;135;166,4;143;103;88,9;0,2;56816,4;2,31;1958;18,8;60;99;98,8;99;81,2;24;9
367;99;Iceland;2019;134;170,4;144,3;104,7;85,9;0,2;56923,2;2,31;1960;14,4;40;99;98,8;99;83,7;24;10
368;99;Iceland;2020;133;172,7;143,3;104;83,4;0,2;52174,6;2,31;1960;10,8;16;99;98,8;99;83,7;23;10
369;99;Iceland;2021;130;;;;;0,2;53586,2;2,31;1960;;28;;;;;;10
370;100;India;2017;108;55,5;63;13,7;-5,6;0,25;6112,1;3,17;1788;7;18;89,1;62,5;;39,9;57;8
371;100;India;2018;109;57,3;64;14,3;-5,3;0,25;6436,2;3,17;1791;6,5;21;89,6;65,4;;41,9;56;7
372;100;India;2019;110;59,2;65;15;-5,2;0,26;6608,6;3,17;1794;5,9;21;90;68,3;;43,9;55;6
373;100;India;2020;110;60;65,7;15,3;-6,4;0,29;6114;3,17;1797;5,3;21;90,5;71,3;;45,9;55;6
374;100;India;2021;110;;;;;0,3;6592;3,17;1800;;11;;;;;;6
375;101;Indonesia;2017;126;55,4;66;21;13,6;0,28;10941,9;3,44;1784;9,2;27;90,1;78,7;;;68;8
376;101;Indonesia;2018;127;60,1;67,7;22,7;13,7;0,28;11397,4;3,28;1786;8,7;41;90,9;81,3;;;66;9
377;101;Indonesia;2019;128;64,1;69;25;13,7;0,28;11857,8;3,12;1788;12,8;38;91,6;83,9;;;65;9
378;101;Indonesia;2020;127;66,3;68,3;25,7;14;0,28;11515,7;3,12;1790;12,5;42;92,4;86,5;;;63;8
379;101;Indonesia;2021;127;;;;;0,28;11858,1;3,12;1791;;39;;;;;;8
380;102;Iran (Islamic Republic of);2017;123;78,1;85;24,7;36,1;0,27;15163,3;2,61;1836;15,1;25;97,1;89,5;93,5;;55;11
381;102;Iran (Islamic Republic of);2018;122;78,3;84;25;36,8;0,27;14628,9;2,61;1835;10,2;32;97,2;89,9;93,7;;54;10
382;102;Iran (Islamic Republic of);2019;121;80;82,7;25;39,3;0,27;14084,4;2,61;1835;22,1;45;97,4;90,2;93,8;;54;11
383;102;Iran (Islamic Republic of);2020;122;80,8;82,7;25,3;36,3;0,27;14432,4;2,61;1838;18,6;37;97,5;90,3;94;;53;13
384;102;Iran (Islamic Republic of);2021;123;;;;;0,25;15004,7;2,61;1841;;37;;;;;;17
385;103;Iraq;2017;115;72,5;62,4;14;;0,33;9976,9;3,65;1758;30,8;24;96;96,8;58,4;42,4;60;15
386;103;Iraq;2018;116;70,7;63,7;14,3;61,8;0,34;9995;3,65;1763;32,2;21;96,9;98,5;58,9;42,9;61;14
387;103;Iraq;2019;117;69,4;64,7;14;57,7;0,34;10299,3;3,65;1768;24,3;13;97,8;99;59,4;43,1;61;12
388;103;Iraq;2020;117;67,6;64,3;12;50;0,34;8919,8;3,65;1773;17,3;20;98,4;99;59,7;42,9;61;13
389;103;Iraq;2021;118;;;;;0,33;8962,4;3,65;1777;;23;;;;;;15
390;104;Ireland;2017;155;140,2;113,3;66,7;37,5;0,2;77749,2;2,06;1906;67,5;43;97,4;91,3;97,2;82,5;33;6
391;104;Ireland;2018;157;144,1;114,4;68;47,1;0,2;83340,4;2,06;1908;52,9;54;97,4;91,4;97,3;82,7;32;6
392;104;Ireland;2019;159;148,7;115,7;69,3;50,7;0,2;86681,3;2,06;1910;29;40;97,4;91,3;97,3;82,8;32;5
393;104;Ireland;2020;160;153,3;115,7;70,3;54,2;0,21;91099,7;2,06;1912;33,4;24;97,4;91,3;97,3;82,9;31;5
394;104;Ireland;2021;160;;;;;0,19;102496;2,06;1914;;35;;;;;;5
395;105;Israel;2017;156;153,5;123,7;72;93,6;0,2;39121,3;2,32;1777;5,5;31;99;99;99;92,7;34;7
396;105;Israel;2018;157;153,4;125,7;74,7;94,2;0,2;39936,8;2,32;1778;5,7;31;99;99;99;93,4;34;8
397;105;Israel;2019;158;149,7;126,7;75;97,5;0,2;40810,1;2,32;1778;7,3;31;99;99;99;94,2;34;8
398;105;Israel;2020;159;146,1;126,6;75;95,9;0,21;39351,9;2,32;1778;5,6;29;99;99;99;95;34;9
399;105;Israel;2021;159;;;;;0,21;42061,2;2,32;1780;;29;;;;;;10
400;106;Italy;2017;141;146,5;103,7;53,7;32,8;0,2;41581,1;2,07;1934;22,3;63;99;99;95,8;95,8;35;7
401;106;Italy;2018;141;146,3;104;54;35,5;0,2;42045,9;2,07;1935;22,3;53;99;99;95,8;95,8;35;7
402;106;Italy;2019;142;147,4;105;55,7;38;0,2;42739;2,07;1936;22,6;9;99;99;95,8;95,8;35;7
403;106;Italy;2020;144;149,5;105,3;56,7;38,1;0,2;39065,3;2,07;1936;8,4;27;99;99;95,8;95,8;34;7
404;106;Italy;2021;146;;;;;0,21;41929,4;2,07;1937;;41;;;;;;7
405;107;Côte d'Ivoire;2017;125;47,8;59,7;13,7;39,5;0,32;4750,9;1,71;1728;16,2;29;71;32,2;35;;72;11
406;107;Côte d'Ivoire;2018;126;47,3;60,4;14;41,4;0,32;4949,6;1,71;1731;15,8;27;71;33,1;35,1;;72;12
407;107;Côte d'Ivoire;2019;127;48,8;61,3;15;42,3;0,32;5126,6;1,71;1734;11,5;24;70,9;33,9;35,1;;72;12
408;107;Côte d'Ivoire;2020;129;50,2;62;15,3;45;0,32;5098,6;1,71;1736;12,8;7;70,9;34,6;35,2;;71;13
409;107;Côte d'Ivoire;2021;130;;;;;0,32;5325;1,71;1739;;10;;;;;;12
410;108;Kazakhstan;2017;136;127,5;97;54,7;-47,4;0,25;24863;2,46;1822;38,5;56;95,4;97,9;89,3;;34;7
411;108;Kazakhstan;2018;139;126,9;100;55;-71,4;0,25;25544,3;2,46;1820;26,9;47;95,4;97,9;89,3;;35;6
412;108;Kazakhstan;2019;142;128,3;102,3;55,7;-88,4;0,25;26351,8;2,46;1818;29,4;50;95,4;97,9;89,3;;36;6
413;108;Kazakhstan;2020;145;130,8;104;57;-87,2;0,25;25361,5;2,46;1815;24,3;59;95,4;97,9;89,3;;36;6
414;108;Kazakhstan;2021;147;;;;;0,25;26110,5;2,46;1812;;62;;;;;;7
415;109;Jamaica;2017;114;77,7;72;35,3;99;0,24;9984,6;3,11;1911;6,2;26;90,7;86,3;;;38;63
416;109;Jamaica;2018;114;77,2;73,3;36;99,4;0,23;10160,8;3,11;1914;6,5;28;90,9;86,5;;;38;54
417;109;Jamaica;2019;116;78,4;75,3;37;99,3;0,23;10244,4;3,11;1918;6,7;35;91;86,6;;;39;54
418;109;Jamaica;2020;116;78,6;75,7;37;99,6;0,24;9198,1;3,11;1921;6,1;41;91;86,6;;;39;55
419;109;Jamaica;2021;114;;;;;0,24;9596,6;3,11;1924;;44;;;;;;68
420;110;Japan;2017;111;87,8;85,7;47,3;69,5;0,17;41444,2;1,5;1857;3,5;7;99;99;98,5;80,2;42;7
421;110;Japan;2018;111;88,3;86;47,7;70,5;0,17;41739,2;1,5;1858;2,5;10;99;99;98,5;80,6;42;6
422;110;Japan;2019;111;90,1;86,7;48,3;69,2;0,17;41697,4;1,5;1858;2,4;11;99;99;98,6;81;41;6
423;110;Japan;2020;111;90,6;87,3;49;68,9;0,17;39935,5;1,5;1859;1,1;25;99;99;98,6;81,4;41;7
424;110;Japan;2021;111;;;;;0,18;40784,4;1,5;1860;;25;;;;;;7
425;112;Jordan;2017;119;91,1;71;24;97,4;0,25;9629,1;3,32;1813;8,7;25;99;97,3;79,2;81,7;47;46
426;112;Jordan;2018;115;90,9;69,3;24;99,9;0,25;9584,5;3,32;1817;7,7;22;99;97,2;81,4;81,9;46;46
427;112;Jordan;2019;111;92,6;66,6;24;100;0,25;9551,2;3,32;1821;7;33;99;97,2;83,5;82,1;44;43
428;112;Jordan;2020;106;93,1;64,3;24,7;100;0,28;9203,4;3,32;1824;6,8;41;98,9;97,1;85,7;82,3;41;43
429;112;Jordan;2021;103;;;;;0,29;9223,1;3,32;1828;;58;;;;;;43
430;113;Kyrgyzstan;2017;117;65,9;83,3;33,7;17,7;0,23;5046,7;2,44;1796;21,7;32;89,6;97,5;68,4;92;54;30
431;113;Kyrgyzstan;2018;118;66,9;83,7;34;16,2;0,23;5133,2;2,44;1794;17,5;26;90,2;97,7;68,8;92,2;54;28
432;113;Kyrgyzstan;2019;119;69,3;84;34,3;18,7;0,23;5258,4;2,44;1793;14,4;29;90,7;97,8;69,3;92,4;53;29
433;113;Kyrgyzstan;2020;120;70,1;85;35,3;18,5;0,23;4726,2;2,44;1792;6;33;91,7;97,9;70,1;92,5;53;26
434;113;Kyrgyzstan;2021;119;;;;;0,23;4815;2,44;1795;;33;;;;;;31
435;114;Kenya;2017;100;43,3;62;15;46,2;0,24;4312,9;3,05;1737;13,9;38;59,6;32,5;;;60;38
436;114;Kenya;2018;99;44,7;61;15;46,1;0,26;4464,8;3,05;1742;20,2;42;60,3;32,5;;;59;39
437;114;Kenya;2019;101;46,5;60,7;14,3;44,8;0,26;4601,2;3,05;1746;18,4;34;61;32,6;;;58;43
438;114;Kenya;2020;101;47,7;60;13,7;41,1;0,29;4498,4;3,05;1751;19,5;45;61,6;32,7;;;57;40
439;114;Kenya;2021;101;;;;;0,29;4743,5;3,05;1755;;46;;;;;;42
440;115;Cambodia;2017;117;37,7;65;18,7;-7;0,23;3972,7;2,9;1773;21,8;29;69,7;59,3;26;;69;6
441;115;Cambodia;2018;118;38;65,7;19;-7;0,23;4217,6;2,9;1775;13,9;24;70,3;62,5;26,6;;69;6
442;115;Cambodia;2019;120;38;65;19;-6,7;0,23;4464,3;2,9;1776;9,4;27;70,8;65,6;27,2;;69;6
443;115;Cambodia;2020;122;37,8;64,7;19;-7,1;0,24;4276,2;2,9;1778;9,7;39;71,2;68,8;27,8;;69;6
444;115;Cambodia;2021;123;;;;;0,25;4354,6;2,9;1781;;40;;;;;;6
445;116;Democratic People's Republic of Korea;2017;86;36,2;55,3;10;18,8;0,26;;1,58;1860;4,4;12;94,5;83,2;66,6;;68;25
446;116;Democratic People's Republic of Korea;2018;85;36;54,3;10;19;0,26;;1,58;1859;5,7;14;94,2;83,9;66,5;;68;45
447;116;Democratic People's Republic of Korea;2019;85;37;54;10;17,9;0,26;;1,58;1858;5,9;23;93,8;84,6;66,3;;68;106
448;116;Democratic People's Republic of Korea;2020;84;38,4;53,3;10;17,8;0,26;;1,58;1857;8,1;27;93,8;84,7;66,4;;67;360
449;116;Democratic People's Republic of Korea;2021;84;;;;;0,26;;1,58;1856;;27;;;;;;458
450;117;Republic of Korea;2017;134;114,1;95;50,3;72,1;0,22;40957,4;1,24;1897;7,7;23;99;99;98,9;97,7;37;4
451;117;Republic of Korea;2018;135;116,6;96,7;51,3;73,1;0,22;41965,9;1,24;1896;7,5;18;99;99;99;99;36;4
